index_x,Date,Close,index_y,Dividend,Adj Price
142,2020-07-23,277.2838134765625,142,0.0,277.2838134765625
143,2020-07-24,275.4897155761719,143,0.0,275.4897155761719
144,2020-07-27,277.4987487792969,144,0.0,277.4987487792969
145,2020-07-28,275.7794189453125,145,0.0,275.7794189453125
146,2020-07-29,279.1153564453125,146,0.0,279.1153564453125
147,2020-07-30,278.0967712402344,147,0.0,278.0967712402344
148,2020-07-31,280.42352294921875,148,0.0,280.42352294921875
149,2020-08-03,282.1895751953125,149,0.0,282.1895751953125
150,2020-08-04,283.3763122558594,150,0.0,283.3763122558594
151,2020-08-05,285.1424255371094,151,0.0,285.1424255371094
152,2020-08-06,287.0580139160156,152,0.0,287.0580139160156
153,2020-08-07,287.2075500488281,153,0.0,287.2075500488281
154,2020-08-10,288.1233215332031,154,0.0,288.1233215332031
155,2020-08-11,285.7964782714844,155,0.0,285.7964782714844
156,2020-08-12,289.7117614746094,156,0.0,289.7117614746094
157,2020-08-13,289.216552734375,157,0.0,289.216552734375
158,2020-08-14,289.216552734375,158,0.0,289.216552734375
159,2020-08-17,290.1510009765625,159,0.0,290.1510009765625
160,2020-08-18,290.7584228515625,160,0.0,290.7584228515625
161,2020-08-19,289.5248718261719,161,0.0,289.5248718261719
162,2020-08-20,290.440673828125,162,0.0,290.440673828125
163,2020-08-21,291.4778747558594,163,0.0,291.4778747558594
164,2020-08-24,294.4400634765625,164,0.0,294.4400634765625
165,2020-08-25,295.46795654296875,165,0.0,295.46795654296875
166,2020-08-26,298.486083984375,166,0.0,298.486083984375
167,2020-08-27,299.08416748046875,167,0.0,299.08416748046875
168,2020-08-28,301.0278015136719,168,0.0,301.0278015136719
169,2020-08-31,299.9718933105469,169,0.0,299.9718933105469
170,2020-09-01,302.7751770019531,170,0.0,302.7751770019531
171,2020-09-02,307.1856994628906,171,0.0,307.1856994628906
172,2020-09-03,296.5518798828125,172,0.0,296.5518798828125
173,2020-09-04,294.17840576171875,173,0.0,294.17840576171875
174,2020-09-08,286.0955810546875,174,0.0,286.0955810546875
175,2020-09-09,291.7395324707031,175,0.0,291.7395324707031
176,2020-09-10,286.6374816894531,176,0.0,286.6374816894531
177,2020-09-11,286.8524475097656,177,0.0,286.8524475097656
178,2020-09-14,290.58087158203125,178,0.0,290.58087158203125
179,2020-09-15,292.0759582519531,179,0.0,292.0759582519531
180,2020-09-16,290.8985290527344,180,0.0,290.8985290527344
181,2020-09-17,288.35687255859375,181,0.0,288.35687255859375
182,2020-09-18,285.0022277832031,182,0.0,285.0022277832031
183,2020-09-21,281.9092712402344,183,0.0,281.9092712402344
184,2020-09-22,284.7593078613281,184,0.0,284.7593078613281
185,2020-09-23,278.16217041015625,185,0.0,278.16217041015625
186,2020-09-24,278.9283752441406,186,0.0,278.9283752441406
187,2020-09-25,283.39501953125,187,0.0,283.39501953125
188,2020-09-28,288.1419982910156,188,0.0,288.1419982910156
189,2020-09-29,286.498779296875,189,1.309,287.807779296875
190,2020-09-30,288.7040710449219,190,0.0,288.7040710449219
191,2020-10-01,290.53399658203125,191,0.0,290.53399658203125
192,2020-10-02,287.8312683105469,192,0.0,287.8312683105469
193,2020-10-05,292.8612060546875,193,0.0,292.8612060546875
194,2020-10-06,288.76971435546875,194,0.0,288.76971435546875
195,2020-10-07,293.724609375,195,0.0,293.724609375
196,2020-10-08,296.32403564453125,196,0.0,296.32403564453125
197,2020-10-09,298.9609680175781,197,0.0,298.9609680175781
198,2020-10-12,303.7844543457031,198,0.0,303.7844543457031
199,2020-10-13,301.8419189453125,199,0.0,301.8419189453125
200,2020-10-14,299.95562744140625,200,0.0,299.95562744140625
201,2020-10-15,299.5990905761719,201,0.0,299.5990905761719
202,2020-10-16,299.3457336425781,202,0.0,299.3457336425781
203,2020-10-19,294.8226013183594,203,0.0,294.8226013183594
204,2020-10-20,295.9862060546875,204,0.0,295.9862060546875
205,2020-10-21,295.4512634277344,205,0.0,295.4512634277344
206,2020-10-22,297.0747375488281,206,0.0,297.0747375488281
207,2020-10-23,298.0882568359375,207,0.0,298.0882568359375
208,2020-10-26,292.5985107421875,208,0.0,292.5985107421875
209,2020-10-27,291.6319274902344,209,0.0,291.6319274902344
210,2020-10-28,281.5908508300781,210,0.0,281.5908508300781
211,2020-10-29,284.5562744140625,211,0.0,284.5562744140625
212,2020-10-30,281.3562316894531,212,0.0,281.3562316894531
213,2020-11-02,284.63134765625,213,0.0,284.63134765625
214,2020-11-03,289.65185546875,214,0.0,289.65185546875
215,2020-11-04,296.17388916015625,215,0.0,296.17388916015625
216,2020-11-05,301.9732971191406,216,0.0,301.9732971191406
217,2020-11-06,301.9358215332031,217,0.0,301.9358215332031
218,2020-11-09,305.6988525390625,218,0.0,305.6988525390625
219,2020-11-10,305.3046569824219,219,0.0,305.3046569824219
220,2020-11-11,307.45361328125,220,0.0,307.45361328125
221,2020-11-12,304.6101989746094,221,0.0,304.6101989746094
222,2020-11-13,308.74871826171875,222,0.0,308.74871826171875
223,2020-11-16,312.49285888671875,223,0.0,312.49285888671875
224,2020-11-17,310.9351501464844,224,0.0,310.9351501464844
225,2020-11-18,307.1627502441406,225,0.0,307.1627502441406
226,2020-11-19,308.4483947753906,226,0.0,308.4483947753906
227,2020-11-20,306.38385009765625,227,0.0,306.38385009765625
228,2020-11-23,308.1949768066406,228,0.0,308.1949768066406
229,2020-11-24,313.1873474121094,229,0.0,313.1873474121094
230,2020-11-25,312.6712341308594,230,0.0,312.6712341308594
231,2020-11-27,313.5627136230469,231,0.0,313.5627136230469
232,2020-11-30,312.1551208496094,232,0.0,312.1551208496094
233,2020-12-01,315.58966064453125,233,0.0,315.58966064453125
234,2020-12-02,316.25604248046875,234,0.0,316.25604248046875
235,2020-12-03,316.1621398925781,235,0.0,316.1621398925781
236,2020-12-04,318.88360595703125,236,0.0,318.88360595703125
237,2020-12-07,318.29241943359375,237,0.0,318.29241943359375
238,2020-12-08,319.2120056152344,238,0.0,319.2120056152344
239,2020-12-09,316.3780212402344,239,0.0,316.3780212402344
240,2020-12-10,316.22784423828125,240,0.0,316.22784423828125
241,2020-12-11,315.8243408203125,241,0.0,315.8243408203125
